file,class,method,variable,usage
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],farmerId,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],createdBy,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],name,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],location,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],modifiedBy,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],id,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],cityId,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\FieldDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.FieldDTO,jsonFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field],supervisors,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],locationData,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],productivityData,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],createdBy,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],cropData,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],pulverisationData,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],midData,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],harverstId,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],modifiedBy,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],id,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],cultivarData,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],fieldId,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\dto\base\SurveyDTO.java,br.edu.utfpr.cp.emater.midmipsystem.dto.base.SurveyDTO,generateFromEntity/1[br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey],sizeData,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",name,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State]",state,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\City.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,setName/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,setName/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor>]",city,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor>]",name,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor>]",farmer,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor>]",location,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor>]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor>]",supervisors,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\MacroRegion.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,setName/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\MacroRegion.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,"create/2[java.lang.Long,java.lang.String]",name,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\MacroRegion.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,"create/2[java.lang.Long,java.lang.String]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Person.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Person,setName/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,"create/4[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.City>]",macroRegion,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,"create/4[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.City>]",cities,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,"create/4[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.City>]",name,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,"create/4[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.City>]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,setName/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\State.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State,getName/0,name,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\State.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State,State/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\State.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.State,setName/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,"create/4[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region]",region,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Supervisor.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor,"create/4[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region]",email,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesLeafInspection.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesLeafInspection,AsiaticRustTypesLeafInspection/1[java.lang.String],description,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesLeafInspection.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesLeafInspection,getDescription/0,description,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesLeafInspection.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesLeafInspection,setDescription/1[java.lang.String],description,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesSporeCollector.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesSporeCollector,getDescription/0,description,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesSporeCollector.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesSporeCollector,AsiaticRustTypesSporeCollector/1[java.lang.String],description,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\AsiaticRustTypesSporeCollector.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.AsiaticRustTypesSporeCollector,setDescription/1[java.lang.String],description,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsibleEntity.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City]",city,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\BladeReadingResponsiblePerson.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsiblePerson,"create/3[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.BladeReadingResponsibleEntity]",entity,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\MIDRustSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.MIDRustSample,"create/3[java.lang.Long,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey,java.util.Date]",sampleDate,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\MIDRustSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.MIDRustSample,"create/3[java.lang.Long,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey,java.util.Date]",survey,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mid\MIDRustSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mid.MIDRustSample,"create/3[java.lang.Long,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey,java.util.Date]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\GrowthPhase.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,getDescription/0,description,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\GrowthPhase.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,setDescription/1[java.lang.String],description,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\GrowthPhase.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,GrowthPhase/1[java.lang.String],description,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,"create/6[java.lang.Long,java.util.Date,int,int,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey]",growthPhase,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,"create/6[java.lang.Long,java.util.Date,int,int,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey]",sampleDate,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,"create/6[java.lang.Long,java.util.Date,int,int,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey]",survey,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,"create/6[java.lang.Long,java.util.Date,int,int,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\MIPSample.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.MIPSample,"create/6[java.lang.Long,java.util.Date,int,int,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.GrowthPhase,br.edu.utfpr.cp.emater.midmipsystem.entity.survey.Survey]",defoliation,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\Pest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest,"create/4[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestSize]",scientificName,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\Pest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest,"create/4[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestSize]",pestSize,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\Pest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest,"create/4[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestSize]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\Pest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest,"create/4[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestSize]",usualName,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\Pest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest,setScientificName/1[java.lang.String],scientificName,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\Pest.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.Pest,setUsualName/1[java.lang.String],usualName,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestDisease.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestDisease,"create/2[java.lang.Long,java.lang.String]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestDisease.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestDisease,"create/2[java.lang.Long,java.lang.String]",usualName,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestNaturalPredator.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestNaturalPredator,setUsualName/1[java.lang.String],usualName,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestNaturalPredator.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestNaturalPredator,"create/2[java.lang.Long,java.lang.String]",id,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestNaturalPredator.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestNaturalPredator,"create/2[java.lang.Long,java.lang.String]",usualName,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestSize.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestSize,PestSize/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestSize.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestSize,getName/0,name,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\mip\PestSize.java,br.edu.utfpr.cp.emater.midmipsystem.entity.mip.PestSize,setName/1[java.lang.String],name,3
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\pulverisation\Product.java,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.Product,setName/1[java.lang.String],name,1
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\pulverisation\Product.java,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.Product,"create/9[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.UseClass,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ProductUnit,java.lang.String,java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ToxiClass,java.lang.String]",concentrationActiveIngredient,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\pulverisation\Product.java,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.Product,"create/9[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.UseClass,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ProductUnit,java.lang.String,java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ToxiClass,java.lang.String]",unit,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\pulverisation\Product.java,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.Product,"create/9[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.UseClass,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ProductUnit,java.lang.String,java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ToxiClass,java.lang.String]",useClass,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\pulverisation\Product.java,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.Product,"create/9[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.UseClass,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ProductUnit,java.lang.String,java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ToxiClass,java.lang.String]",name,2
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\pulverisation\Product.java,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.Product,"create/9[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.UseClass,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ProductUnit,java.lang.String,java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.pulverisation.ToxiClass,java.lang.String]",company,2
